MPN	product_id	gtin	title	Description	price	url	actualImgUrl	product_url	image_url	product_category	brand	availability	Shipping Cost	MSRP	parent_product_id
IP-SS3-RHD-GRYPRP-K	IP-SS3-RHD-GRYPRP-K	6.16E+11	3pc Rhodes Living Set in Steel Grey and Purple	Command the room with furniture that grabs the eye with unique; functional; mid-century design. Created by Christian Rudolph; the Rhodes Tufted Sofa and Arm Chair uses retro throwbacks to direct the details in the design; found in the tufted buttons and exposed top stitching. Deep seating and curved arms make this piece as comfortable as it is beautiful.&nbsp;<br><br>Features:<ul><li>Set includes one tufted sofa and two tufted arm chairs.</li><li>Inner frames are constructed from imported New Zealand pine; kiln dried to prevent warping.</li><li>Solid oak legs in a smoke finish brings out the natural detail of the wood.</li><li>Seat rests on medium-density European webbing for slimmer profile.</li><li>Cushions filled with medium density foam.</li><li>Upholstery is long-lasting and easy to clean.</li><li>Martindale rub test: 25K rubs.</li><li>Tufted button back adds a detailed touch of finesse.</li><li>Zippered back adds a discrete feature.</li><li>Cushions built into the frame are firm	2499.99	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Grey-Purple	https://www.rstbrands.com/ProductImages/IP-SS3-RHD-GRYPRP-K_main-1.jpg?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Grey-Purple	http://www.rstbrands.com/ProductImages/IP-SS3-RHD-GRYPRP-K_main-1.jpg	Indoor Furniture;New Items;Sofa Sectionals	RST Brands	In Stock	90	2499.99	3pc Rhodes Living Set
IP-SS3-RHD-NVY-K	IP-SS3-RHD-NVY-K	7.07E+11	3pc Rhodes Living Set in Navy	"Command the room with furniture that grabs the eye with unique; functional; mid-century design. Created by Christian Rudolph; the Rhodes Tufted Sofa and Arm Chair uses retro throwbacks to direct the details in the design; found in the tufted buttons and exposed top stitching. Deep seating and curved arms make this piece as comfortable as it is beautiful.&nbsp;<br><br>Features:<ul><li>Set includes one tufted sofa and two tufted arm chairs.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Inner frames are constructed from imported New Zealand pine; kiln dried to prevent warping.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Solid oak legs in a smoke finish brings out the natural detail of the wood.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Seat rests on medium-density European webbing for slimmer profile.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Cushions filled with medium density foam.</li><li styl"	2499.99	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Navy-Blue	https://www.rstbrands.com/ProductImages/IP-SS3-RHD-NVY-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Navy-Blue	http://www.rstbrands.com/ProductImages/IP-SS3-RHD-NVY-K_main-1.jpg	Christopher Kennedy;Couches;New Items	RST Brands	In Stock	90	2499.99	3pc Rhodes Living Set
IP-SS3-RHD-GRY-K	IP-SS3-RHD-GRY-K	7.07E+11	3pc Rhodes Living Set in Steel Grey	Command the room with furniture that grabs the eye with unique; functional; mid-century design. Created by Christian Rudolph; the Rhodes Tufted Sofa and Arm Chair uses retro throwbacks to direct the details in the design; found in the tufted buttons and exposed top stitching. Deep seating and curved arms make this piece as comfortable as it is beautiful.&nbsp;<br><br>Features:<ul><li>Set includes one tufted sofa and two tufted arm chairs.</li><li>Inner frames are constructed from imported New Zealand pine; kiln dried to prevent warping.</li><li>Solid oak legs in a smoke finish brings out the natural detail of the wood.</li><li>Seat rests on medium-density European webbing for slimmer profile.</li><li>Cushions filled with medium density foam.</li><li>Upholstery is long-lasting and easy to clean.</li><li>Martindale rub test: 25K rubs.</li><li>Tufted button back adds a detailed touch of finesse.</li><li>Zippered back adds a discrete feature.</li><li>Cushions built into the frame are firm	2499.99	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Steel-Grey	https://www.rstbrands.com/ProductImages/IP-SS3-RHD-GRY-K_main-1.jpg?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Rhodes-Mid-Century-Modern-3pc-Living-Set-Steel-Grey	http://www.rstbrands.com/ProductImages/IP-SS3-RHD-GRY-K_main-1.jpg	Couches;Indoor Furniture	RST Brands	In Stock	90	2499.99	3pc Rhodes Living Set
IP-SS3-WAG-OLVORG-K	IP-SS3-WAG-OLVORG-K	6.16E+11	3pc Wagner Living Set in Olive	"Evoking the craftsmanship in Nordic design; designer Cathrine Rudolph created a sofa sectional that's as pleasing to the eye as it is comforting to the body. Spacious seats accommodate an entire family; with firm cushions and full webbing for support. Perfect for an addition to any mid-century modern home. <br><br>Features: <ul><li>Set includes a two-piece sofa sectional and modern arm chair.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Inner frames are constructed from imported New Zealand pine; kiln dried to prevent warping.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Seat rests on medium-density European webbing for support.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Cushions filled with medium density foam.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Solid oak legs in a smoke finish brings out the natural detail of the wood.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">"	2999.99	http://www.rstbrands.com/Wagner-Mid-Century-Modern-Living-Set-Olive-Green	https://www.rstbrands.com/ProductImages/IP-SS3-WAG-OLVORG-K_main-1.jpg?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Wagner-Mid-Century-Modern-Living-Set-Olive-Green	http://www.rstbrands.com/ProductImages/IP-SS3-WAG-OLVORG-K_main-1.jpg	Indoor Furniture;New Items;Sofa Sectionals	RST Brands	In Stock	99.99	2999.99	3pc Wagner Living Set
IP-SS3-WAG-BLUCRM-K	IP-SS3-WAG-BLUCRM-K	6.16E+11	3pc Wagner Living Set in Royal Blue	"Evoking the craftsmanship in Nordic design; designer Cathrine Rudolph created a sofa sectional that's as pleasing to the eye as it is comforting to the body. Spacious seats accommodate an entire family; with firm cushions and full webbing for support. Perfect for an addition to any mid-century modern home. <br><br>Features: <ul><li>Set includes a two-piece sofa sectional and modern arm chair.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Inner frames are constructed from imported New Zealand pine; kiln dried to prevent warping.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Seat rests on medium-density European webbing for support.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Cushions filled with medium density foam.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">Solid oak legs in a smoke finish brings out the natural detail of the wood.</li><li style=""margin: 0px; padding: 0px; box-sizing: border-box;"">"	2999.99	http://www.rstbrands.com/Wagner-Mid-Century-Modern-Living-Set-Royal-Blue	https://www.rstbrands.com/ProductImages/IP-SS3-WAG-BLUCRM-K_main-1.jpg?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Wagner-Mid-Century-Modern-Living-Set-Royal-Blue	http://www.rstbrands.com/ProductImages/IP-SS3-WAG-BLUCRM-K_main-1.jpg	Indoor Furniture;New Items;Sofa Sectionals	RST Brands	In Stock	99.99	2999.99	3pc Wagner Living Set
IP-SS5-TEAL-FLO-K	IP-SS5-TEAL-FLO-K	6.16E+11	5pc Florence Living Set in Teal with Ivory Chair	Use your space to tell a story. The Florence Collection brings a distinctive mid-century modern feel with an emphasis on quality and comfort. Perfect for contemporary and sophisticated spaces; you can emphasize the timeless and unique inspirations of your taste. Bold textile colors combine with soft neutrals to create a daring pallet; while sturdy structures ensure the furniture's lasting quality.<br><br>Features:<ul><li>Set includes Sofa Sectional; Liberty Arm Chair; a set of two round alternating satellite tables; and accent pillows.</li><li>Sectional constructed from Canadian pine wood frame.</li><li>Sofa finished in Teal polyester upholstery.</li><li>Liberty Chair finished with Ivory upholstery.</li><li>Cushions are built with a spring suspension system for comfort.</li><li>Four accent pillows included in Cream Fur and Chevron Stripe.</li><li>Easy to clean with mild soap and warm water.</li></ul>	4999.99	http://www.rstbrands.com/5pc-Florence-Living-Set-in-Teal	https://www.rstbrands.com/ProductImages/IP-SS5-TEAL-FLO-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/5pc-Florence-Living-Set-in-Teal	http://www.rstbrands.com/ProductImages/IP-SS5-TEAL-FLO-K_main-1.jpg	Couches;Indoor Furniture;New Items	RST Brands	In Stock	99.99	4999.99	5pc Florence Living Set
IP-SS5-GLD-MAR-K	IP-SS5-GLD-MAR-K	6.16E+11	5pc Marco Living Set with Gold Accents	The Marco Collection invites you to sit back and relax on a refined structure that leaves a distinguished mark in your indoor space. Inventive geometric angles evoke mid-century designs with ergonomics that make this set comfortable. Natural color pallet with bold accents and soft textured upholstery compliments your space. Constructed from solid hardwood frames with a spring suspension system; the pieces in the Marco Collection add a prolific elevated style statement to your indoor living area.<br><br>Features:<ul><li>Set include sofa sectional; Liberty arm chair; coffee and satellite table; and accent pillows.</li><li>Constructed from solid hardwood frames.</li><li>Sectional finished in Stonewashed Grey polyester upholstery.</li><li>Liberty Chair finished with Gold upholstery.</li><li>Four accent pillows in Chevron Stripe and Beige Fur included in the set.</li><li>Cushions are built with a spring suspension system for comfort.</li><li>Easy to clean with mild soap and warm water.</li>	4999.99	http://www.rstbrands.com/Marco-5pc-Living-Set-Gold	https://www.rstbrands.com/ProductImages/IP-SS5-GLD-MAR-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/Marco-5pc-Living-Set-Gold	http://www.rstbrands.com/ProductImages/IP-SS5-GLD-MAR-K_main-1.jpg	New Items;Sofa Sectionals	RST Brands	In Stock	99.99	4999.99	5pc Marco Living Set
IP-SS5-TPZ-MAR-K	IP-SS5-TPZ-MAR-K	6.16E+11	5pc Marco Living Set with Topaz Accents	The Marco Collection invites you to sit back and relax on a refined structure that leaves a distinguished mark in your indoor space. Inventive geometric angles evoke mid-century designs with ergonomics that make this set comfortable. Natural color pallet with bold accents and soft textured upholstery compliments your space. Constructed from solid hardwood frames with a spring suspension system; the pieces in the Marco Collection add a prolific elevated style statement to your indoor living area.<br><br>Features:<ul><li>Set includes sofa sectional; Liberty arm chair; coffee and satellite table; and accent pillows.</li><li>Constructed from solid hardwood frames.</li><li>Sectional finished in Stonewashed Grey polyester upholstery.</li><li>Liberty Chair finished with Topaz upholstery.</li><li>Four accent pillows in Geometric Textile and Beige Fur included in the set.</li><li>Cushions are built with a spring suspension system for comfort.</li><li>Easy to clean with mild soap and warm water.	4999.99	http://www.rstbrands.com/5pc-Marco-Living-Set-with-Topaz-Accents	https://www.rstbrands.com/ProductImages/IP-SS5-TPZ-MAR-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/5pc-Marco-Living-Set-with-Topaz-Accents	http://www.rstbrands.com/ProductImages/IP-SS5-TPZ-MAR-K_main-1.jpg	New Items;Sofa Sectionals	RST Brands	In Stock	99.99	4999.99	5pc Marco Living Set
IP-SS6-DENIM-FLO-K	IP-SS6-DENIM-FLO-K	6.16E+11	6pc Florence Living Set in Denim with High Back Chair	Use your space to tell a story. The Florence Collection brings a distinctive mid-century modern feel with an emphasis on quality and comfort. Perfect for contemporary and sophisticated spaces; you can emphasize the timeless and unique inspirations of your taste. Bold textile colors combine with soft neutrals to create a daring pallet; while sturdy structures ensure the furniture's lasting quality.<br><br>Features:<ul><li>Set includes Sofa Sectional; Victoria High Back Accent Chair and Ottoman; set of 2 round alternating Satellite Tables; and accent pillows.</li><li>Constructed from Canadian pine wood frames.</li><li>Sofa finished in Denim polyester upholstery with contrast piping.</li><li>High back chair finished with Chevron Herringbone upholstery.</li><li>Cushions are built with a spring suspension system for comfort.</li><li>Four accent pillows included in Beige Fur and Chevron Stripe.</li><li>Easy to clean with mild soap and warm water.</li></ul>	4999.99	http://www.rstbrands.com/6pc-Florence-Living-Set-in-Denim-with-High-Back-Chair	https://www.rstbrands.com/ProductImages/IP-SS6-DENIM-FLO-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/6pc-Florence-Living-Set-in-Denim-with-High-Back-Chair	http://www.rstbrands.com/ProductImages/IP-SS6-DENIM-FLO-K_main-1.jpg	Couches;Indoor Furniture;New Items;Sofa Sectionals	RST Brands	In Stock	99.99	4999.99	6pc Florence Living Set
IP-SS7-TEAL-FLO-K	IP-SS7-TEAL-FLO-K	6.16E+11	7pc Florence Living Set in Teal with High Back Chair	Use your space to tell a story. The Florence Collection brings a distinctive mid-century modern feel with an emphasis on quality and comfort. Perfect for contemporary and sophisticated spaces; you can emphasize the timeless and unique inspirations of your taste. Bold textile colors combine with soft neutrals to create a daring pallet; while sturdy structures ensure the furniture's lasting quality.<br><br>Features:<ul><li>Set includes Sofa Sectional; Victoria Wingback Arm Chair and Ottoman; set of 3 round alternating Satellite Tables; and accent pillows.</li><li>Constructed from Canadian pine wood frames.</li><li>Sofa finished in Teal polyester upholstery.</li><li>Wingback chair finished with Chevron Herringbone upholstery.</li><li>Cushions are built with a spring suspension system for comfort.</li><li>Four accent pillows included in Cream Fur and Chevron Stripe.</li><li>Marble stone top veneer add style and elegance.</li><li>Stainless steel base lasts long and is easy to maintain.</li>	4999.99	http://www.rstbrands.com/7pc-Florence-Living-Set-in-Teal	https://www.rstbrands.com/ProductImages/IP-SS7-TEAL-FLO-K_main-1.JPG?resizeid=6&resizeh=600&resizew=600	http://www.rstbrands.com/7pc-Florence-Living-Set-in-Teal	http://www.rstbrands.com/ProductImages/IP-SS7-TEAL-FLO-K_main-1.jpg	New Items;Sofa Sectionals	RST Brands	In Stock	99.99	4999.99	7pc Florence Living Set
